Journey_ID,Day_of_Week,Time_of_Day,Transport_Mode,Distance_km,Journey_Duration_mins,Average_Speed,Delay_mins,Weather_Type,Temperature_C,Air_Quality_Index,CO2_Emissions_g,Passenger_Count,Ticket_Price,Satisfaction_Score,Incident_Reported,Late_Arrival,Frequent_Traveller 
1,Monday,07:12:00,Bus,8.4,31,16.3,4,Rain,11,78,310,27,2.60,6,No,Yes,No 2
9,Monday,09:22:00,E-scooter,2.8,12,14,3,Clear,17,68,0,1,1.20,7,Yes,No,No 10
16,Monday,11:25:00,E-scooter,3.1,13,14.3,1,Clear,22,49,0,1,1.10,8,No,No,No 17
24,Monday,13:40:00,E-scooter,2.9,12,14.5,0,Clear,26,40,0,1,1.10,9,No,No,No 25
41,Monday,17:55:00,E-scooter,2.7,15,10.8,4,Rain,17,138,0,1,1.00,6,Yes,Yes,No 42
47,Monday,19:25:00,E-scooter,3.2,14,13.7,1,Clear,18,85,0,1,1.10,8,No,No,No 48
51,Monday,20:25:00,Car,6.4,22,17.5,0,Clear,18,73,390,1,4.00,9,No,No,Yes 52
60,Monday,22:40:00,E-scooter,2.8,13,12.9,1,Clear,13,55,0,1,1.00,8,No,No,No 61
76,Tuesday,02:40:00,E-scooter,2.9,13,13.1,1,Clear,5,42,0,1,1.00,8,No,No,No 77
82,Tuesday,04:10:00,E-scooter,3.1,14,13.4,1,Cloudy,3,44,0,1,1.10,8,No,No,No 83
88,Tuesday,05:40:00,E-scooter,2.8,13,12.9,1,Clear,3,40,0,1,1.00,8,No,No,No 89
94,Tuesday,07:10:00,E-scooter,3,14,13,2,Rain,9,75,0,1,1.10,7,Yes,Yes,No 95
100,Tuesday,08:40:00,E-scooter,2.9,15,11.6,3,Rain,13,130,0,1,1.00,6,Yes,Yes,No
101,Tuesday,08:55:00,Car,7.6,28,16.3,5,Rain,14,135,420,1,4.20,6,No,Yes,Yes 102
106,Tuesday,10:10:00,E-scooter,3,14,12.9,2,Cloudy,17,130,0,1,1.10,7,No,No,No 107
112,Tuesday,11:40:00,E-scooter,2.9,13,13.4,1,Clear,21,105,0,1,1.00,8,No,No,No 113
118,Tuesday,13:10:00,E-scooter,3.1,14,13.2,1,Clear,24,92,0,1,1.10,8,No,No,No 119
124,Tuesday,14:40:00,E-scooter,2.8,13,13,1,Clear,27,82,0,1,1.00,8,No,No,No 125
130,Tuesday,16:10:00,E-scooter,3,14,12.9,2,Rain,23,110,0,1,1.10,7,Yes,Yes,No 131
136,Tuesday,17:40:00,E-scooter,2.9,15,11.7,3,Rain,19,142,0,1,1.00,6,Yes,Yes,No 137
142,Tuesday,19:10:00,E-scooter,3.1,14,13.3,1,Clear,18,110,0,1,1.10,8,No,No,No 143
148,Tuesday,20:40:00,E-scooter,2.8,13,13,1,Clear,17,95,0,1,1.00,8,No,No,No 149
151,Tuesday,21:25:00,Train,20.1,44,27.1,0,Clear,16,88,150,150,3.50,9,No,No,Yes 152
154,Tuesday,22:10:00,E-scooter,3,14,13.1,1,Clear,14,83,0,1,1.00,8,No,No,No 155
160,Tuesday,23:40:00,E-scooter,2.9,13,13,1,Clear,11,73,0,1,1.00,8,No,No,No 161
201,Wednesday,09:55:00,Walk,1.1,19,3.5,0,Rain,16,140,0,1,NA,7,No,No,No 202
251,Wednesday,22:25:00,Car,7.2,25,17.3,0,Clear,14,82,410,1,4.10,9,No,No,Yes 252
262,Thursday,01:10:00,E-scooter,3.1,14,13.2,1,Cloudy,8,63,0,1,1.10,8,No,No,No 263
268,Thursday,02:40:00,E-scooter,2.8,13,12.9,1,Clear,5,53,0,1,1.00,8,No,No,No 269
274,Thursday,04:10:00,E-scooter,3,14,13,1,Cloudy,3,45,0,1,1.10,8,No,No,No 275
280,Thursday,05:40:00,E-scooter,2.9,13,12.9,1,Clear,3,40,0,1,1.00,8,No,No,No 281
286,Thursday,07:10:00,E-scooter,3,14,13,2,Rain,9,75,0,1,1.10,7,Yes,Yes,No 287
292,Thursday,08:40:00,E-scooter,2.9,15,11.6,3,Rain,13,130,0,1,1.00,6,Yes,Yes,No 293
298,Thursday,10:10:00,E-scooter,3,14,12.9,2,Cloudy,17,130,0,1,1.10,7,No,No,No 299
301,Thursday,10:55:00,Train,19.6,43,27.3,1,Cloudy,19,115,150,150,3.50,9,No,No,Yes 302
304,Thursday,11:40:00,E-scooter,2.9,13,13.4,1,Clear,21,105,0,1,1.00,8,No,No,No 305
310,Thursday,13:10:00,E-scooter,3.1,14,13.2,1,Clear,24,92,0,1,1.10,8,No,No,No 311
316,Thursday,14:40:00,E-scooter,2.8,13,13,1,Clear,27,82,0,1,1.00,8,No,No,No 317
322,Thursday,16:10:00,E-scooter,3,14,12.9,2,Rain,23,110,0,1,1.10,7,Yes,Yes,No 323
328,Thursday,17:40:00,E-scooter,2.9,15,11.7,3,Rain,19,142,0,1,1.00,6,Yes,Yes,No 329
340,Thursday,20:40:00,E-scooter,2.8,13,13,1,Clear,17,95,0,1,1.00,8,No,No,No 341
346,Thursday,22:10:00,E-scooter,3,14,13.1,1,Clear,14,83,0,1,1.00,8,No,No,No 347
351,Thursday,23:25:00,Walk,1,16,3.7,0,Clear,12,75,0,1,NA,10,No,No,No 
352,Thursday,23:40:00,E-scooter,2.9,13,13,1,Clear,11,73,0,1,1.00,8,No,No,No 353
358,Friday,01:10:00,E-scooter,3.1,14,13.2,1,Cloudy,8,63,0,1,1.10,8,No,No,No 359
364,Friday,02:40:00,E-scooter,2.8,13,12.9,1,Clear,5,53,0,1,1.00,8,No,No,No 365
370,Friday,04:10:00,E-scooter,3,14,13,1,Cloudy,3,45,0,1,1.10,8,No,No,No 371
376,Friday,05:40:00,E-scooter,2.9,13,12.9,1,Clear,3,40,0,1,1.00,8,No,No,No 377
382,Friday,07:10:00,E-scooter,3,14,13,2,Rain,9,75,0,1,1.10,7,Yes,Yes,No 383
388,Friday,08:40:00,E-scooter,2.9,15,11.6,3,Rain,13,130,0,1,1.00,6,Yes,Yes,No 389
394,Friday,10:10:00,E-scooter,3,14,12.9,2,Cloudy,17,130,0,1,1.10,7,No,No,No 395
400,Friday,11:40:00,E-scooter,2.9,13,13.4,1,Clear,21,105,0,1,1.00,8,No,No,No
401,Friday,11:55:00,Car,7.1,25,17,0,Clear,21,102,410,1,4.10,9,No,No,Yes 402
406,Friday,13:10:00,E-scooter,3.1,14,13.2,1,Clear,24,92,0,1,1.10,8,No,No,No 407
412,Friday,14:40:00,E-scooter,2.8,13,13,1,Clear,27,82,0,1,1.00,8,No,No,No 413
418,Friday,16:10:00,E-scooter,3,14,12.9,2,Rain,23,110,0,1,1.10,7,Yes,Yes,No 419
424,Friday,17:40:00,E-scooter,2.9,15,11.7,3,Rain,19,142,0,1,1.00,6,Yes,Yes,No 425
430,Friday,19:10:00,E-scooter,3.1,14,13.3,1,Clear,18,110,0,1,1.10,8,No,No,No 431
436,Friday,20:40:00,E-scooter,2.8,13,13,1,Clear,17,95,0,1,1.00,8,No,No,No 437
