Region,Property_Type,Average_Price,Sales_Volume,Year,Mortgage_Rate,Deposit_Percent,Energy_Rating,New_Build,Buyer_Type,Affordability_Index,Monthly_Mortgage_cost,Total Interest Paid,25-Year total cost,Loan Amount,Investment_Score,,,Investment_Score_1
North East,Flat,175000,2200,2023,6.4,5,D,No,First Timer,79.55,"£1,112.17","£167,399.72","£333,649.72",166250,880.3037714,,1,880.3419048
Yorkshire,Flat,190000,2380,2024,5.5,5,D,No,First Timer,79.83,"£1,108.43","£152,028.38","£332,528.38",180500,952.3037579,,1,952.3417544
North East,Flat,225000,2800,2024,5.4,8,D,No,First Timer,80.36,"£1,258.83","£170,648.68","£377,648.68",207000,1120.303733,,1,1120.341481
North East,Flat,230000,2850,2024,5.4,8,D,No,First Timer,80.70,"£1,286.80","£174,440.87","£386,040.87",211600,1140.303717,,1,1140.341304
Yorkshire,Flat,194000,2400,2024,5.4,5,D,No,First Timer,80.83,"£1,120.78","£151,935.03","£336,235.03",184300,960.3037113,,1,960.3412371
North East,Flat,235000,2900,2024,5.4,8,D,No,First Timer,81.03,"£1,314.78","£178,233.06","£394,433.06",216200,1160.303702,,1,1160.341135
North East,Flat,236000,2910,2024,5.4,8,D,No,First Timer,81.10,"£1,320.37","£178,991.50","£396,111.50",217120,1164.303699,,1,1164.341102
North East,Flat,220000,2700,2024,5.4,8,D,No,First Timer,81.48,"£1,230.85","£166,856.49","£369,256.49",202400,1080.303682,,1,1080.340909
Yorkshire,Flat,200000,2450,2024,5.4,5,D,No,First Timer,81.63,"£1,155.45","£156,634.05","£346,634.05",190000,980.303675,,1,980.3408333
Yorkshire,Flat,198000,2420,2023,6.6,5,D,No,First Timer,81.82,"£1,281.84","£196,453.01","£384,553.01",188100,968.3036667,,1,968.3407407
North East,Flat,180000,2200,2023,6.4,5,D,No,First Timer,81.82,"£1,143.94","£172,182.57","£343,182.57",171000,880.3036667,,1,880.3407407
Yorkshire,Flat,188000,2290,2023,6.5,5,D,No,First Timer,82.10,"£1,205.92","£183,176.00","£361,776.00",178600,916.3036543,,1,916.3406028
North East,Flat,170000,2070,2024,5.4,8,D,No,First Timer,82.13,£951.12,"£128,934.56","£285,334.56",156400,828.3036529,,1,828.3405882
North East,Flat,218000,2650,2024,5.4,8,D,No,First Timer,82.26,"£1,219.67","£165,339.61","£365,899.61",200560,1060.303647,,1,1060.34052
North East,Flat,172000,2090,2024,5.3,8,D,No,First Timer,82.30,£952.92,"£127,636.95","£285,876.95",158240,836.3036453,,1,836.3405039
Yorkshire,Flat,205000,2480,2023,6.5,5,D,No,First Timer,82.66,"£1,314.97","£199,739.78","£394,489.78",194750,992.3036293,,1,992.3403252
North East,Flat,215000,2600,2024,5.4,8,D,No,First Timer,82.69,"£1,202.88","£163,064.29","£360,864.29",197800,1040.303628,,1,1040.34031
North East,Flat,212000,2550,2024,5.4,8,D,No,First Timer,83.14,"£1,186.10","£160,788.98","£355,828.98",195040,1020.303608,,1,1020.340094
North East,Flat,178000,2140,2024,5.4,8,D,No,First Timer,83.18,£995.87,"£135,002.07","£298,762.07",163760,856.3036067,,1,856.3400749
North West,Flat,205000,2460,2024,5.4,5,D,No,First Timer,83.33,"£1,184.33","£160,549.90","£355,299.90",194750,984.3036,,1,984.34
North East,Flat,180000,2160,2023,6.4,8,D,No,First Timer,83.33,"£1,107.82","£166,745.23","£332,345.23",165600,864.3036,,1,864.34
North East,Flat,190000,2280,2024,5.4,8,D,No,First Timer,83.33,"£1,063.01","£144,103.33","£318,903.33",174800,912.3036,,1,912.34
North East,Flat,182000,2180,2024,5.4,8,D,No,First Timer,83.49,"£1,018.25","£138,035.82","£305,475.82",167440,872.3035934,,1,872.3399267
North East,Flat,188000,2250,2024,5.4,8,D,No,First Timer,83.56,"£1,051.82","£142,586.45","£315,546.45",172960,900.3035904,,1,900.3398936
North East,Flat,180000,2150,2024,5.4,8,D,No,First Timer,83.72,"£1,007.06","£136,518.94","£302,118.94",165600,860.3035833,,1,860.3398148
North East,Flat,166000,1980,2023,6.4,8,D,No,First Timer,83.84,"£1,021.65","£153,776.16","£306,496.16",152720,792.3035783,,1,792.339759
Yorkshire,Flat,210000,2500,2024,5.4,5,D,No,First Timer,84.00,"£1,213.22","£164,465.76","£363,965.76",199500,1000.303571,,1,1000.339683
North East,Flat,210000,2500,2024,5.4,8,D,No,First Timer,84.00,"£1,174.91","£159,272.10","£352,472.10",193200,1000.303571,,1,1000.339683
North East,Flat,185000,2200,2023,6.4,5,D,No,First Timer,84.09,"£1,175.72","£176,965.42","£352,715.42",175750,880.3035676,,1,880.3396396
North East,Flat,185000,2200,2024,5.4,8,D,No,First Timer,84.09,"£1,035.04","£140,311.14","£310,511.14",170200,880.3035676,,1,880.3396396
North East,Flat,190000,2250,2024,5.4,8,D,No,First Timer,84.44,"£1,063.01","£144,103.33","£318,903.33",174800,900.3035526,,1,900.3394737
North West,Flat,210000,2480,2024,5.4,5,D,No,First Timer,84.68,"£1,213.22","£164,465.76","£363,965.76",199500,992.3035429,,1,992.3393651
Yorkshire,Flat,205000,2420,2023,6.6,5,D,No,First Timer,84.71,"£1,327.16","£203,398.32","£398,148.32",194750,968.3035415,,1,968.3393496
North East,Flat,195000,2300,2023,6.4,8,D,No,First Timer,84.78,"£1,200.14","£180,640.66","£360,040.66",179400,920.3035385,,1,920.3393162
North East,Flat,195000,2300,2024,5.4,8,D,No,First Timer,84.78,"£1,090.99","£147,895.52","£327,295.52",179400,920.3035385,,1,920.3393162
North West,Flat,212000,2500,2023,6.4,5,D,No,First Timer,84.80,"£1,347.31","£202,792.81","£404,192.81",201400,1000.303538,,1,1000.339308
